date,TweetId,Tweet,created_at,location
2020-12-15  21:46,1288816989679415297,@mariannemaexcxc bring BTS to the Martians https://t.co/zYecBWOlMU,2020-07-30 12:41:30,everywhere
2020-12-15  21:46,1288815794885820417,"@ThisMarcelo13 Gaga says, suit up, Little Monsters https://t.co/hM3em2JnVk",2020-07-30 12:36:45,everywhere
2020-12-15  21:46,1288815049448906754,@kaitlynnraecook let us know if there's... life on Mars https://t.co/GgWN4L1HN6,2020-07-30 12:33:47,everywhere
2020-12-15  21:46,1288814711945879552,@niaorea you can sleep on the flight https://t.co/aNEpn2WMMg,2020-07-30 12:32:27,everywhere
2020-12-15  21:46,1288812516064129024,"@NASA @NASAPersevere On second thought, seven months is a long time and we kinda just met, but can we keep in touch?",2020-07-30 12:23:43,everywhere
2020-12-15  21:46,1288803768784412673,@AstroJaws @maejemison @NASAPersevere Excited to watch with you this time...and maybe watch you liftoff next time?,2020-07-30 11:48:57,everywhere
2020-12-15  21:46,1288800725888196608,@NASA @NASAPersevere Got enough of those jokes to last seven months?,2020-07-30 11:36:52,everywhere
2020-12-15  21:46,1288797737958350848,@maejemison @AstroJaws how does earth coffee compare to space coffee,2020-07-30 11:25:00,everywhere
2020-12-15  21:46,1288795943446274048,@NASA @NASAPersevere Is it a window or an aisle? We can't ride middle for that long,2020-07-30 11:17:52,everywhere
2020-12-15  21:46,1288793107341795329,@LadyBoss502 you taking? https://t.co/Mq4yQqXfvu,2020-07-30 11:06:36,everywhere
2020-12-15  21:46,1288789234984222724,"Take us with you, @NASAPersevere",2020-07-30 10:51:12,everywhere
2020-12-15  21:46,1288787327066583040,@AnannyaUberoi The girl who went for a tea break and never came back https://t.co/lj7N1lOkIi,2020-07-30 10:43:37,everywhere
2020-12-15  21:46,1288786740820316161,@RajaMali00 You're welcome. Goodbye. #CountdownToMars https://t.co/vD36jKMinO,2020-07-30 10:41:18,everywhere
2020-12-15  21:46,1288785724406456321,@JaalaLeisW blast off https://t.co/zGc4tVZ4Fa,2020-07-30 10:37:15,everywhere
2020-12-15  21:46,1288784780914384897,"@wambugu_254 where we're going, we don't need that https://t.co/Wi0U8o7lhD",2020-07-30 10:33:30,everywhere
